Date	High	Low	Close	Volume
2017.5.2	2392.929932	2385.820068	2391.169922	3813680000
2017.5.3	2389.820068	2379.75	2388.129883	3893990000
2017.5.4	2391.429932	2380.350098	2389.52002	4362540000
2017.5.5	2399.290039	2389.379883	2399.290039	3540140000
2017.5.8	2401.360107	2393.919922	2399.379883	3429440000
2017.5.9	2403.870117	2392.439941	2396.919922	3653590000
2017.5.10	2399.73999	2392.790039	2399.629883	3643530000
2017.5.11	2395.719971	2381.73999	2394.439941	3727420000
2017.5.12	2392.439941	2387.189941	2390.899902	3305630000
2017.5.15	2404.050049	2393.939941	2402.320068	3473600000
2017.5.16	2405.77002	2396.050049	2400.669922	3420790000
2017.5.17	2384.870117	2356.209961	2357.030029	4163000000
2017.5.18	2375.73999	2352.719971	2365.719971	4319420000
2017.5.19	2389.060059	2370.429932	2381.72998	3825160000
2017.5.22	2395.459961	2386.919922	2394.02002	3172830000
2017.5.23	2400.850098	2393.879883	2398.419922	3213570000
2017.5.24	2405.580078	2397.98999	2404.389893	3389900000
2017.5.25	2418.709961	2408.01001	2415.070068	3535390000
2017.5.26	2416.679932	2412.199951	2415.820068	2805040000
2017.5.30	2415.26001	2409.429932	2412.909912	3203160000
2017.5.31	2415.98999	2403.590088	2411.800049	4516110000
2017.6.1	2430.060059	2413.540039	2430.060059	3857140000
2017.6.2	2440.22998	2427.709961	2439.070068	3461680000
2017.6.5	2439.550049	2434.320068	2436.100098	2912600000
2017.6.6	2436.209961	2428.120117	2429.330078	3357840000
2017.6.7	2435.280029	2424.75	2433.139893	3572300000
2017.6.8	2439.27002	2427.939941	2433.790039	3728860000
2017.6.9	2446.199951	2415.699951	2431.77002	4027340000
2017.6.12	2430.379883	2419.969971	2429.389893	4027750000
2017.6.13	2441.48999	2431.280029	2440.350098	3275500000
2017.6.14	2443.75	2428.340088	2437.919922	3555590000
2017.6.15	2433.949951	2418.530029	2432.459961	3353050000
2017.6.16	2433.149902	2422.879883	2433.149902	5284720000
2017.6.19	2453.820068	2441.790039	2453.459961	3264700000
2017.6.20	2450.659912	2436.600098	2437.030029	3416510000
2017.6.21	2442.22998	2430.73999	2435.610107	3594820000
2017.6.22	2441.620117	2433.27002	2434.5	3468210000
2017.6.23	2441.399902	2431.110107	2438.300049	5278330000
2017.6.26	2450.419922	2437.030029	2439.070068	3238970000
2017.6.27	2440.149902	2419.379883	2419.379883	3563910000
2017.6.28	2442.969971	2428.02002	2440.689941	3500800000
2017.6.29	2442.72998	2405.699951	2419.699951	3900280000
2017.6.30	2432.709961	2421.649902	2423.409912	3361590000
2017.7.3	2439.169922	2428.689941	2429.01001	1962290000
2017.7.5	2434.899902	2422.050049	2432.540039	3367220000
2017.7.6	2424.280029	2407.699951	2409.75	3364520000
2017.7.7	2426.919922	2413.52002	2425.179932	2901330000
2017.7.10	2432	2422.27002	2427.429932	2999130000
2017.7.11	2429.300049	2412.790039	2425.530029	3106750000
